id,Last_NM,First_NM,Street_NR,Street_NM,City,State
67581,,                Aaron            ,16459,Lake,Spring,Field
67823,,                Aaron            ,22966,Hill,Spring,Field
137134,,                Aaron            ,24186,Shore,Spring,Field
67063,,                Abby            ,29989,Quail,Spring,Field
68318,,                Abby            ,9741,Williams,Spring,Field
67142,,                Abigail            ,11438,Park,Spring,Field
68031,,                Abigail            ,14968,Ninth,Spring,Field
68266,,                Abraham            ,10706,Aloha,Spring,Field
67250,,                Adam            ,11773,Fifth,Spring,Field
68263,,                Adam            ,13764,Hemlock,Spring,Field
137291,,                Adam            ,20822,N,400,Spring
67633,,                Adam            ,9769,Dogwood,Spring,Field
138246,,                Adrian            ,26333,Fourth,Spring,Field
67234,,                Adriana            ,12575,Pinon,Spring,Field
136999,,                Adrianna            ,19299,Eighth,Spring,Field
66942,,                Adrianna            ,21435,Seventh,Spring,Field
138026,,                Adrianna            ,6393,Redwood,Spring,Field
68095,,                Adrienne            ,17296,Lehua,Spring,Field
67952,,                Aimee            ,13091,Washington,Spring,Field
137011,,                Alan            ,15166,Willow,Spring,Field
67101,,                Alan            ,21180,Wilson,Spring,Field
67569,,                Alan            ,24293,Columbine,Spring,Field
137265,,                Alan            ,26727,Narragansett,Spring,Field
137468,,                Albert            ,13237,Lakeview,Spring,Field
137143,,                Albert            ,15210,Elm,Spring,Field
136996,,                Albert            ,16360,Delaware,Spring,Field
137465,,                Albert            ,25587,Shore,Spring,Field
137374,,                Albert            ,28487,Lehua,Spring,Field
67666,,                Albert            ,4431,West,Spring,Field
137195,,                Alec            ,18947,Hickory,Spring,Field
136945,,                Alejandra            ,29747,Aloha,Spring,Field
67909,,                Alejandro            ,15914,Malulani,Spring,Field
67174,,                Alejandro            ,29539,First,Spring,Field
66914,,                Alex            ,17269,Maple,Spring,Field
67025,,                Alex            ,21992,Magnolia,Spring,Field
68300,,                Alex            ,5780,Twelfth,Spring,Field
66991,,                Alex            ,8365,Dogwood,Spring,Field
67942,,                Alexa            ,17163,Wilson,Spring,Field
136926,,                Alexander            ,12815,Malulani,Spring,Field
67048,,                Alexander            ,13344,Lehua,Spring,Field
67692,,                Alexander            ,20784,Aspen,Spring,Field
137688,,                Alexander            ,24012,Birch,Spring,Field
67547,,                Alexander            ,5312,S,100,Spring
138031,,                Alexandra            ,29580,Juniper,Spring,Field
137109,,                Alexandria            ,24809,Hampton,Spring,Field
67357,,                Alexis            ,26660,Church,Spring,Field
67225,,                Alexis            ,590,Spruce,Spring,Field
67297,,                Alice            ,24069,West,Spring,Field
137346,,                Alice            ,29069,Sycamore,Spring,Field
137868,,                Alice            ,6000,Third,Spring,Field
